City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,turukhansk,65.8167,87.9833,27.28,96,100,10.2,RU,1667718074
240,yatou,37.15,122.3833,58.73,53,100,13.62,CN,1667718080
241,malakal,9.5334,31.6605,88.59,22,100,10.27,SS,1667718082
242,kuznetsk,53.1167,46.6004,33.71,75,21,5.35,RU,1667718089
243,pochutla,15.7432,-96.4661,77.83,90,96,2.89,MX,1667718091
244,marrakesh,31.6315,-8.0083,60.87,63,0,3.44,MA,1667718094
245,chemal,51.4111,86.005,53.67,46,100,8.14,RU,1667718097
246,vanavara,60.34,102.2797,25.93,87,100,5.66,RU,1667718099
247,san jeronimo,-11.9472,-75.2829,47.1,87,52,0.38,PE,1667718102
248,namatanai,-3.6667,152.4333,80.02,81,91,2.46,PG,1667718104
249,farafangana,-22.8167,47.8333,80.76,65,100,11.79,MG,1667718107
250,calama,-22.4667,-68.9333,50.59,30,0,6.38,CL,1667718034
251,forbes,-33.3833,148.0167,70.92,56,80,5.59,AU,1667718112
252,correntina,-13.3433,-44.6367,65.66,93,100,3.65,BR,1667718114
253,kaitangata,-46.2817,169.8464,50.83,74,60,5.28,NZ,1667718117
254,sumenep,-7.0167,113.8667,85.68,63,100,5.99,ID,1667718119
255,worthington,40.0931,-83.018,67.42,78,100,4.0,US,1667718122
256,digha,21.6833,87.55,83.5,46,5,2.17,IN,1667718127
257,tasiilaq,65.6145,-37.6368,30.36,93,100,5.23,GL,1667718130
258,baykit,61.67,96.37,23.58,91,100,2.39,RU,1667718132
259,laguna,38.421,-121.4238,59.76,91,100,8.05,US,1667718065
260,gornopravdinsk,60.05,69.9,27.99,87,100,8.86,RU,1667718137
261,vila,42.0304,-8.1588,45.48,94,100,3.8,PT,1667717731
262,vardo,70.3705,31.1107,39.18,93,100,12.66,NO,1667718035
263,gouyave,12.1646,-61.7296,77.9,80,94,5.73,GD,1667718147
264,barcelos,41.5388,-8.6151,55.54,88,100,4.85,PT,1667718150
265,kidal,18.4411,1.4078,71.29,20,0,9.26,ML,1667718152
266,montgomery,39.1501,-77.1997,69.78,86,20,11.5,US,1667718155
267,vao,-22.6667,167.4833,75.67,86,24,17.45,NC,1667718158
268,kungurtug,50.5994,97.5228,35.56,54,10,1.45,RU,1667718160
269,ponta do sol,32.6667,-17.1,68.72,87,13,2.71,PT,1667718163
270,port hedland,-20.3167,118.5667,89.65,27,98,21.85,AU,1667718156
271,srednekolymsk,67.45,153.6833,-1.12,93,100,14.38,RU,1667718168
272,carman,49.4992,-98.0016,33.89,66,90,12.93,CA,1667718170
273,ikornnes,62.3873,6.557,48.76,90,100,6.62,NO,1667718173
274,guano,-1.5833,-78.6333,48.02,93,72,0.72,EC,1667717958
275,talara,-4.5772,-81.2719,62.17,90,19,11.25,PE,1667718177
276,sterling,39.0062,-77.4286,69.78,83,98,16.11,US,1667718057
277,colac,-38.3333,143.5833,67.08,67,44,2.93,AU,1667718182
278,mahebourg,-20.4081,57.7,79.25,71,22,12.28,MU,1667718065
279,rabak,13.1809,32.74,89.2,18,20,16.93,SD,1667718187
280,flin flon,54.7682,-101.865,25.86,95,100,14.99,CA,1667718189
281,puerto escondido,15.85,-97.0667,77.83,69,40,4.61,MX,1667718192
282,palauig,15.435,119.9045,84.9,70,10,5.86,PH,1667718194
283,yeppoon,-23.1333,150.7333,76.78,62,43,19.06,AU,1667718197
284,scottsboro,34.6723,-86.0341,63.55,100,75,0.0,US,1667718200
285,berwick,41.0545,-76.2333,70.16,84,97,12.3,US,1667718024
286,hervey bay,-25.2986,152.8535,71.82,61,6,17.2,AU,1667718206
287,tabou,4.423,-7.3528,77.72,87,73,6.58,CI,1667718208
288,moron,-34.6534,-58.6198,64.15,73,9,9.35,AR,1667718211
289,havre-saint-pierre,50.2334,-63.5986,44.96,87,100,13.8,CA,1667718213
290,evanston,42.0411,-87.6901,46.58,78,20,11.5,US,1667718216
291,gat,31.61,34.7642,75.4,100,0,3.6,IL,1667718159
292,primero de enero,21.9469,-78.4283,71.11,90,0,3.89,CU,1667718221
293,novo aripuana,-5.1206,-60.3797,78.46,67,100,2.28,BR,1667718223
294,eganville,45.5334,-77.0994,65.52,83,100,17.78,CA,1667718226
295,hasaki,35.7333,140.8333,64.29,53,3,9.71,JP,1667718158
296,labuhan,-6.8844,112.2051,86.59,63,100,3.56,ID,1667718233
297,dingle,10.9995,122.6711,83.89,79,81,10.47,PH,1667718235
298,nome,64.5011,-165.4064,30.27,74,100,25.32,US,1667718117
299,tondano,1.3038,124.9112,77.09,83,100,1.36,ID,1667718240
300,sur,22.5667,59.5289,88.65,38,2,1.83,OM,1667718243
301,preili,56.2944,26.7246,37.17,96,100,8.7,LV,1667718245
302,rey bouba,8.6724,14.1786,76.41,33,32,3.74,CM,1667718248
303,rush,53.5223,-6.0931,53.87,80,40,11.5,IE,1667718250
304,novikovo,51.1537,37.8879,35.73,76,22,4.47,RU,1667717668
305,terekli-mekteb,44.1671,45.8698,43.57,62,91,5.93,RU,1667718255
306,gander,48.9682,-54.5906,42.17,93,100,15.99,CA,1667718030
307,pandan,14.0453,124.1694,81.54,85,100,9.08,PH,1667718260
308,alofi,-19.0595,-169.9187,75.09,78,3,10.36,NU,1667717883
309,abhar,36.1468,49.218,53.01,30,5,9.46,IR,1667718265
310,svetlogorsk,52.6333,29.7333,37.67,84,100,12.19,BY,1667718268
311,tazovskiy,67.4667,78.7,18.57,94,100,7.43,RU,1667718271
312,mbini,1.574,9.6134,77.79,88,99,7.09,GQ,1667718273
313,roros,62.5747,11.3842,30.04,100,100,0.0,NO,1667718276
314,cap malheureux,-19.9842,57.6142,79.47,66,12,7.0,MU,1667718278
315,ghanzi,-21.5667,21.7833,80.6,39,100,10.6,BW,1667718281
316,karema,-6.8205,30.4389,77.41,69,100,5.86,TZ,1667718283
317,shache,38.4167,77.2406,56.32,24,99,3.96,CN,1667718286
318,cabo san lucas,22.8909,-109.9124,72.52,64,0,3.0,MX,1667718117
319,baracoa,20.3467,-74.4958,73.92,86,17,2.8,CU,1667718290
320,san quintin,30.4833,-115.95,60.91,75,1,6.4,MX,1667718293
321,evensk,61.95,159.2333,24.39,96,100,4.83,RU,1667718295
322,baruun-urt,46.6806,113.2792,38.05,38,2,8.84,MN,1667718298
323,lanzhou,36.0564,103.7922,56.57,42,0,4.83,CN,1667718128
324,chipata,-13.6333,32.65,85.44,29,11,8.61,ZM,1667718303
325,port augusta,-32.5,137.7667,84.07,20,16,12.66,AU,1667718305
326,bentiu,9.2333,29.8333,89.11,24,87,6.55,SS,1667718308
327,mayumba,-3.432,10.6554,78.08,85,95,8.41,GA,1667718313
328,tilichiki,60.4667,166.1,28.92,91,94,6.29,RU,1667718315
329,eyl,7.9803,49.8164,83.55,53,6,8.77,SO,1667718318
330,roma,43.2128,-75.4557,71.82,65,100,11.99,US,1667718320
331,marsabit,2.3284,37.9899,69.89,67,54,14.45,KE,1667718140
332,haverfordwest,51.8017,-4.9691,54.99,88,96,3.0,GB,1667718325
333,port keats,-14.25,129.55,91.78,46,10,11.88,AU,1667718328
334,boguchany,58.3814,97.4531,33.1,78,100,7.29,RU,1667717893
335,huai mek,16.5898,103.2355,90.88,90,5,6.53,TH,1667718335
336,jalpan,21.2333,-99.4833,68.99,95,81,1.63,MX,1667718337
337,kodiak,57.79,-152.4072,27.91,59,0,8.05,US,1667718294
338,lazaro cardenas,17.9583,-102.2,75.69,91,35,3.31,MX,1667718342
339,kudahuvadhoo,2.6708,72.8944,81.28,77,91,11.07,MV,1667718213
340,lixourion,38.2019,20.4314,59.0,94,75,10.36,GR,1667718347
341,aketi,2.7388,23.7833,73.96,86,100,1.57,CD,1667718352
342,saint-joseph,-21.3667,55.6167,79.18,76,37,2.15,RE,1667718354
343,shingu,33.7333,135.9833,62.17,62,100,2.66,JP,1667718356
344,alice springs,-23.7,133.8833,92.75,10,29,6.91,AU,1667718193
345,bogorodskoye,56.55,37.8833,30.45,87,84,8.12,RU,1667718361
346,garowe,8.4054,48.4845,80.53,44,5,8.63,SO,1667718364
347,suntar,62.1444,117.6319,16.29,91,100,5.55,RU,1667718366
348,weihe,32.9952,105.3247,56.71,73,100,4.72,CN,1667718369
349,grand gaube,-20.0064,57.6608,79.38,66,11,7.0,MU,1667718127
350,itarema,-2.9248,-39.9167,78.78,82,100,10.42,BR,1667718374
351,cidreira,-30.1811,-50.2056,61.32,79,20,9.64,BR,1667718148
352,imeni poliny osipenko,52.4201,136.4853,19.76,72,6,5.01,RU,1667718381
353,bonthe,7.5264,-12.505,76.82,84,8,2.44,SL,1667718383
354,steinbach,50.1667,8.5667,43.02,100,42,1.14,DE,1667718386
355,tateyama,34.9833,139.8667,66.09,62,95,10.87,JP,1667718389
356,rio grande,-32.035,-52.0986,60.85,82,0,11.18,BR,1667718391
357,faya,18.3851,42.4509,72.12,41,4,1.81,SA,1667718394
358,santa cruz,-17.8,-63.1667,62.06,77,0,6.91,BO,1667718399
359,sept-iles,50.2001,-66.3821,47.05,92,100,13.0,CA,1667718401
360,elko,41.0002,-115.5012,38.05,86,100,3.0,US,1667718022
361,palu,-0.8917,119.8707,87.17,68,83,3.36,ID,1667718406
362,inirida,3.8653,-67.9239,74.46,81,100,1.16,CO,1667718409
363,havelock,34.8791,-76.9013,75.18,89,100,8.08,US,1667718411
364,mutare,-18.9707,32.6709,75.02,73,33,5.39,ZW,1667718416
365,north bend,43.4065,-124.2243,48.85,100,40,8.05,US,1667718420
366,naryan-mar,67.6713,53.087,32.97,92,100,4.54,RU,1667718422
367,iwanai,42.9744,140.5089,42.89,59,7,6.96,JP,1667718425
